Name,url
Spain,/team/1362/spain/
Germany,/team/1337/germany/
Brazil,/team/1370/brazil/
Belgium,/team/1325/belgium/
Argentina,/team/1369/argentina/
Portugal,/team/1354/portugal/
France,/team/1335/france/
Italy,/team/1343/italy/
England,/team/1318/england/
Netherlands,/team/105035/netherlands/
Uruguay,/team/1377/uruguay/
Poland,/team/1353/poland/
Chile,/team/111459/chile/
Colombia,/team/111109/colombia/
Mexico,/team/1386/mexico/
Turkey,/team/1365/turkey/
Denmark,/team/1331/denmark/
Switzerland,/team/1364/switzerland/
Austria,/team/1322/austria/
Côte d'Ivoire,/team/111112/c%C3%B4te-divoire/
Sweden,/team/1363/sweden/
Ireland,/team/1355/ireland/
Greece,/team/1338/greece/
Wales,/team/1367/wales/
Russia,/team/1357/russia/
United States,/team/1387/united-states/
Paraguay,/team/1375/paraguay/
Czech Republic,/team/1330/czech-republic/
Ecuador,/team/111465/ecuador/
Scotland,/team/1359/scotland/
Slovenia,/team/1361/slovenia/
Romania,/team/1356/romania/
Norway,/team/1352/norway/
Egypt,/team/111130/egypt/
Venezuela,/team/111487/venezuela/
Hungary,/team/1886/hungary/
South Africa,/team/111099/south-africa/
Australia,/team/1415/australia/
Cameroon,/team/1395/cameroon/
Northern Ireland,/team/110081/northern-ireland/
Peru,/team/111108/peru/
Finland,/team/1334/finland/
Bulgaria,/team/1327/bulgaria/
Canada,/team/111455/canada/
Bolivia,/team/111451/bolivia/
China PR,/team/1413/china-pr/
India,/team/111466/india/
